,Australia,England,Papua New Guinea,Switzerland,"Oceania and Antarctica, nfd","United Kingdom, Channel Islands and Isle of Man, nfd",Lebanon,Chile,Scotland,New Zealand,India,Indonesia,Philippines,Malta,Poland,Denmark,"Australia (includes External Territories, nfd",Netherlands,Italy,Germany,The former Yugoslav Republic of Macedonia,Bangladesh,United States of America,South Africa,Croatia,"South Eastern Europe, nfd",Wales,Norfolk Island,Portugal,"Korea, Republic of (South",Ireland,Taiwan,Fiji,Northern Ireland,France,Greece,China (excludes SARs and Taiwan,Spain,Canada,Hungary,Malaysia,Iran,Austria,Ukraine,Egypt,Sweden,Russian Federation,Gaza Strip and West Bank,Colombia,Japan,Thailand,Finland,Pakistan,Samoa,Hong Kong (SAR of China,Iraq,Zimbabwe,Peru,Turkey,Uruguay,Kosovo,French Polynesia,"Australian External Territories, nec",Laos,Vietnam,Argentina,Belgium,Mexico,Myanmar,Slovakia,Nepal,Sri Lanka,Tonga,Cyprus,Latvia,Czech Republic,Sudan,Paraguay,Vanuatu,Syria,Norway,Cook Islands,Singapore,Solomon Islands,El Salvador,Nauru,Saudi Arabia,Estonia,Bhutan,Brazil,"Congo, Democratic Republic of","Korea, Democratic People's Republic of (North",Belarus,Slovenia,Afghanistan,Venezuela,Guernsey,Israel,Cambodia,Mauritius,Ghana,Liberia,Jersey,"Eastern Europe, nfd",Zambia,Serbia,Mongolia,Bulgaria,Australia (%),England (%),Papua New Guinea (%),Switzerland (%),"Oceania and Antarctica, nfd (%)","United Kingdom, Channel Islands and Isle of Man, nfd (%)",Lebanon (%),Chile (%),Scotland (%),New Zealand (%),India (%),Indonesia (%),Philippines (%),Malta (%),Poland (%),Denmark (%),"Australia (includes External Territories, nfd (%)",Netherlands (%),Italy (%),Germany (%),The former Yugoslav Republic of Macedonia (%),Bangladesh (%),United States of America (%),South Africa (%),Croatia (%),"South Eastern Europe, nfd (%)",Wales (%),Norfolk Island (%),Portugal (%),"Korea, Republic of (South (%)",Ireland (%),Taiwan (%),Fiji (%),Northern Ireland (%),France (%),Greece (%),China (excludes SARs and Taiwan (%),Spain (%),Canada (%),Hungary (%),Malaysia (%),Iran (%),Austria (%),Ukraine (%),Egypt (%),Sweden (%),Russian Federation (%),Gaza Strip and West Bank (%),Colombia (%),Japan (%),Thailand (%),Finland (%),Pakistan (%),Samoa (%),Hong Kong (SAR of China (%),Iraq (%),Zimbabwe (%),Peru (%),Turkey (%),Uruguay (%),Kosovo (%),French Polynesia (%),"Australian External Territories, nec (%)",Laos (%),Vietnam (%),Argentina (%),Belgium (%),Mexico (%),Myanmar (%),Slovakia (%),Nepal (%),Sri Lanka (%),Tonga (%),Cyprus (%),Latvia (%),Czech Republic (%),Sudan (%),Paraguay (%),Vanuatu (%),Syria (%),Norway (%),Cook Islands (%),Singapore (%),Solomon Islands (%),El Salvador (%),Nauru (%),Saudi Arabia (%),Estonia (%),Bhutan (%),Brazil (%),"Congo, Democratic Republic of (%)","Korea, Democratic People's Republic of (North (%)",Belarus (%),Slovenia (%),Afghanistan (%),Venezuela (%),Guernsey (%),Israel (%),Cambodia (%),Mauritius (%),Ghana (%),Liberia (%),Jersey (%),"Eastern Europe, nfd (%)",Zambia (%),Serbia (%),Mongolia (%),Bulgaria (%),SSC_CODE
Manar,77,6,,,,,,,3,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,5.6,,,,,,,2.8,,,,,,,,,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12462
Mongarlowe,76,7,,,,,,,,3,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,6.2,,,,,,,,2.7,,,,,,,,2.7,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12678
Karabar,"5,485",266,,,,,,,,169,,,,,,,,,199,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,3.2,,,,,,,,2.1,,,,,,,,,2.4,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12071
Queanbeyan,"3,525",235,,,,,,,,,273,,146,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6,3.8,,,,,,,,,4.4,,2.3,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13291
Crestwood,"2,564",154,,,,,,,,,160,,101,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,3.4,,,,,,,,,3.5,,2.2,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11115
Queanbeyan East,"2,176",142,,,,,,,,,293,,,,,,,,,,79,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,3.6,,,,,,,,,7.5,,,,,,,,,,2.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13292
Greenleigh,491,34,,,,,,,18,7,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,5.1,,,,,,,2.7,1.1,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11767
The Ridgeway,115,,,,,,,,,3,,,,,,,,,5,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7,,,,,,,,,2.0,,,,,,,,,3.3,,,,3.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13836
Bungendore,"2,939",311,,,,46,,,48,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5,7.5,,,,1.1,,,1.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10684
Sutton (NSW),994,88,,,,,,,,27,,,,,,,,,21,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,5.4,,,,,,,,1.7,,,,,,,,,1.3,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13702
Carwoola,953,83,,,,,,,23,20,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,5.9,,,,,,,1.6,1.4,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10841
Hoskinstown,129,6,,,,,,,,4,,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3,3.4,,,,,,,,2.3,,,,,,1.7,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11944
Captains Flat,415,56,,,,,,,7,10,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7,9.1,,,,,,,1.1,1.6,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10804
Burra (Queanbeyan-Palerang Regional - NSW),536,62,,,,16,,,,12,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4,7.9,,,,2.0,,,,1.5,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10697
Mount Fairy,149,20,,,,6,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.4,10.3,,,,3.1,,,,2.1,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12758
Mulloon,101,10,,,0,,,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1,7.1,,,0.0,,,,2.1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12827
Royalla,695,60,,,,,,,,12,,,,,,,,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1,6.2,,,,,,,,1.2,,,,,,,,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13434
Primrose Valley,121,8,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7,5.8,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13265
Urila,73,9,,,,,,,,,,,,,,,,4,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,6.6,,,,,,,,,,,,,,,,2.9,2.2,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14059
Tarago,297,25,,,,,7,,,10,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,5.9,,,,,1.7,,,2.4,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13758
Currawang,135,6,,,0,,,,,,,,,,,,0,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6,3.2,,,0.0,,,,,,,,,,,,0.0,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11177
Googong,"1,672",126,,,,,,,,,90,,50,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8,4.7,,,,,,,,,3.4,,1.9,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11704
Wamboin,"1,140",122,,,,21,,,,30,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,7.3,,,,1.3,,,,1.8,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14123
Bywong,922,78,,,,17,,,,46,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9,6.0,,,,1.3,,,,3.5,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10735
Michelago,394,46,,,,8,,,,6,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4,8.3,,,,1.4,,,,1.1,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12598
Jerrabomberra,"6,443",453,,,,,,,,211,,,,,,,,,209,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,4.8,,,,,,,,2.2,,,,,,,,,2.2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12016
Queanbeyan West,"2,130",113,,,,,,,,72,,,58,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,3.6,,,,,,,,2.3,,,1.9,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13293
Delegate,283,17,,,0,,,,,,,,,,,,,,,8,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,4.9,,,0.0,,,,,,,,,,,,,,,2.3,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11233
Bombala,"1,107",52,,,,,,,,,,,,,,,,,,12,,,,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,3.7,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,1.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10455
Cathcart (NSW),87,11,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,10.1,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10855
Cooma (NSW),"4,491",287,,,,,,,,122,,,,,,,,,88,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,4.3,,,,,,,,1.8,,,,,,,,,1.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11036
Kosciuszko National Park,286,29,,,,,,,8,,,,,,,,,,,8,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,5.4,,,,,,,1.5,,,,,,,,,,,1.5,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12199
Adaminaby,213,29,,,,3,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2,10.0,,,,1.0,,,,1.0,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10015
